
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018a (9.4.0.813654) 64-bit (glnxa64)
                             February 23, 2018

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> All warnings have the state 'off'.
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> SqEnKF RMSE for r=5.4, alpha=0.08 is 0.662557
Average RMSE for r=5, alpha=0.37: 3.54886, time = 1.35319
Average RMSE for r=5, alpha=0.39: 2.70072, time = 1.28886
Average RMSE for r=5, alpha=0.41: 3.4143, time = 1.30902
Average RMSE for r=5, alpha=0.43: 2.59016, time = 1.38064
Average RMSE for r=5, alpha=0.45: 2.80311, time = 1.55875
Average RMSE for r=5, alpha=0.47: 2.59133, time = 1.40939
Average RMSE for r=5, alpha=0.49: 2.80432, time = 1.39436
Average RMSE for r=5, alpha=0.51: 3.20143, time = 1.34239
Average RMSE for r=5.25, alpha=0.15: 3.43829, time = 1.2211
Average RMSE for r=5.25, alpha=0.17: 3.8132, time = 1.27408
Average RMSE for r=5.25, alpha=0.19: 3.1338, time = 1.26314
Average RMSE for r=5.25, alpha=0.21: 3.62425, time = 1.23357
Average RMSE for r=5.25, alpha=0.23: 3.41956, time = 1.27558
Average RMSE for r=5.25, alpha=0.25: 2.76938, time = 1.19336
Average RMSE for r=5.25, alpha=0.27: 2.80486, time = 1.27892
Average RMSE for r=5.25, alpha=0.29: 3.44665, time = 1.29382
Average RMSE for r=5.25, alpha=0.31: 2.80082, time = 1.38908
Average RMSE for r=5.25, alpha=0.33: 2.31515, time = 1.39526
Average RMSE for r=5.25, alpha=0.35: 2.80635, time = 1.3695
Average RMSE for r=5.25, alpha=0.37: 3.30217, time = 1.25409
Average RMSE for r=5.25, alpha=0.39: 3.04644, time = 1.2508
Average RMSE for r=5.25, alpha=0.41: 2.80987, time = 1.30087
Average RMSE for r=5.25, alpha=0.43: 2.4626, time = 1.31806
Average RMSE for r=5.25, alpha=0.45: 2.13965, time = 1.26432
Average RMSE for r=5.25, alpha=0.47: 3.30086, time = 1.27962
Average RMSE for r=5.25, alpha=0.49: 2.59742, time = 1.30322
Average RMSE for r=5.25, alpha=0.51: 3.4231, time = 1.42874
Average RMSE for r=5.5, alpha=0.15: 3.67564, time = 1.30968
Average RMSE for r=5.5, alpha=0.17: 3.83974, time = 1.16617
Average RMSE for r=5.5, alpha=0.19: 4.19833, time = 1.22082
Average RMSE for r=5.5, alpha=0.21: 2.25319, time = 1.0999
