
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018a (9.4.0.813654) 64-bit (glnxa64)
                             February 23, 2018

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Average RMSE for r=1, alpha=0: 2.81452, time = 2.22229
Average RMSE for r=1.8, alpha=0.34: 0.636041, time = 1.88794
Average RMSE for r=1.8, alpha=0.35: 0.636249, time = 1.89895
Average RMSE for r=2, alpha=0: 2.9197, time = 1.87849
Average RMSE for r=2, alpha=0.01: 2.53926, time = 1.89258
Average RMSE for r=2, alpha=0.02: 2.07637, time = 1.87948
Average RMSE for r=2, alpha=0.03: 0.793632, time = 1.88271
Average RMSE for r=2, alpha=0.04: 0.581171, time = 1.8844
Average RMSE for r=2, alpha=0.05: 0.666576, time = 1.87969
Average RMSE for r=2, alpha=0.06: 0.588968, time = 1.878
Average RMSE for r=2, alpha=0.07: 0.540128, time = 1.87628
Average RMSE for r=2, alpha=0.08: 0.639643, time = 1.908
Average RMSE for r=2, alpha=0.09: 0.534801, time = 1.88671
Average RMSE for r=2, alpha=0.1: 0.541989, time = 1.94023
Average RMSE for r=2, alpha=0.11: 0.557661, time = 1.88387
Average RMSE for r=2, alpha=0.12: 0.568733, time = 1.88328
Average RMSE for r=2, alpha=0.13: 0.51197, time = 1.88618
Average RMSE for r=2, alpha=0.14: 0.579494, time = 1.88068
Average RMSE for r=2, alpha=0.15: 0.538056, time = 1.87631
Average RMSE for r=2, alpha=0.16: 0.582617, time = 1.88261
Average RMSE for r=2, alpha=0.17: 0.510232, time = 1.87801
Average RMSE for r=2, alpha=0.18: 0.557205, time = 1.87809
Average RMSE for r=2, alpha=0.19: 0.553788, time = 1.8809
Average RMSE for r=2, alpha=0.2: 0.567567, time = 1.8781
Average RMSE for r=2, alpha=0.21: 0.570949, time = 1.87994
Average RMSE for r=2, alpha=0.22: 0.554261, time = 1.87663
Average RMSE for r=2, alpha=0.23: 0.55365, time = 1.90822
Average RMSE for r=2, alpha=0.24: 0.588395, time = 1.88284
Average RMSE for r=2, alpha=0.25: 0.55217, time = 1.90119
Average RMSE for r=2, alpha=0.26: 0.617691, time = 1.90364
Average RMSE for r=2, alpha=0.27: 0.578624, time = 1.88156
Average RMSE for r=2, alpha=0.28: 0.585944, time = 1.88433
Average RMSE for r=2, alpha=0.29: 0.604618, time = 1.89694
Average RMSE for r=2, alpha=0.3: 0.6055, time = 1.89018
Average RMSE for r=2, alpha=0.31: 0.617428, time = 1.88258
Average RMSE for r=2, alpha=0.32: 0.643815, time = 1.88106
Average RMSE for r=2, alpha=0.33: 0.645511, time = 1.88125
Average RMSE for r=2, alpha=0.34: 0.63584, time = 1.8815
Average RMSE for r=2, alpha=0.35: 0.616581, time = 1.87585
Average RMSE for r=2.2, alpha=0: 2.80243, time = 1.88932
Average RMSE for r=2.2, alpha=0.01: 0.800352, time = 1.87738
Average RMSE for r=2.2, alpha=0.02: 1.39221, time = 1.9063
Average RMSE for r=2.2, alpha=0.03: 2.69792, time = 1.88469
Average RMSE for r=2.2, alpha=0.04: 1.51164, time = 1.88418
Average RMSE for r=2.2, alpha=0.05: 0.721767, time = 1.92899
Average RMSE for r=2.2, alpha=0.06: 0.600795, time = 1.89691
Average RMSE for r=2.2, alpha=0.07: 0.548106, time = 1.89538
Average RMSE for r=2.2, alpha=0.08: 0.5699, time = 1.89214
Average RMSE for r=2.2, alpha=0.09: 0.584056, time = 1.88298
Average RMSE for r=2.2, alpha=0.1: 0.545121, time = 1.88423
Average RMSE for r=2.2, alpha=0.11: 0.533315, time = 1.89104
Average RMSE for r=2.2, alpha=0.12: 0.530041, time = 1.89685
Average RMSE for r=2.2, alpha=0.13: 0.533923, time = 1.88286
Average RMSE for r=2.2, alpha=0.14: 0.604536, time = 1.88899
Average RMSE for r=2.2, alpha=0.15: 0.549366, time = 1.90898
Average RMSE for r=2.2, alpha=0.16: 0.511505, time = 1.91768
Average RMSE for r=2.2, alpha=0.17: 0.579221, time = 1.89522
Average RMSE for r=2.2, alpha=0.18: 0.566947, time = 1.87609
Average RMSE for r=2.2, alpha=0.19: 0.55983, time = 1.87953
Average RMSE for r=2.2, alpha=0.2: 0.552281, time = 1.88145
Average RMSE for r=2.2, alpha=0.21: 0.566962, time = 1.90658
Average RMSE for r=2.2, alpha=0.22: 0.554788, time = 1.90102
Average RMSE for r=2.2, alpha=0.23: 0.57418, time = 1.88691
Average RMSE for r=2.2, alpha=0.24: 0.56228, time = 1.88592
Average RMSE for r=2.2, alpha=0.25: 0.564259, time = 1.885
Average RMSE for r=2.2, alpha=0.26: 0.55283, time = 1.88862
Average RMSE for r=2.2, alpha=0.27: 0.54234, time = 1.88621
Average RMSE for r=2.2, alpha=0.28: 0.593115, time = 1.88258
Average RMSE for r=2.2, alpha=0.29: 0.595327, time = 1.88527
Average RMSE for r=2.2, alpha=0.3: 0.592908, time = 1.88177
Average RMSE for r=2.2, alpha=0.31: 0.594845, time = 1.88303
Average RMSE for r=2.2, alpha=0.32: 0.62591, time = 1.89078
Average RMSE for r=2.2, alpha=0.33: 0.611462, time = 1.88135
Average RMSE for r=2.2, alpha=0.34: 0.604984, time = 1.88479
Average RMSE for r=2.2, alpha=0.35: 0.644895, time = 1.88168
Average RMSE for r=2.4, alpha=0: 2.99135, time = 1.88527
Average RMSE for r=2.4, alpha=0.01: 0.820439, time = 1.91079
Average RMSE for r=2.4, alpha=0.02: 0.619299, time = 1.88111
Average RMSE for r=2.4, alpha=0.03: 0.556488, time = 1.8825
Average RMSE for r=2.4, alpha=0.04: 0.645549, time = 1.88186
Average RMSE for r=2.4, alpha=0.05: 0.505844, time = 1.89105
Average RMSE for r=2.4, alpha=0.06: 0.516922, time = 1.88691
Average RMSE for r=2.4, alpha=0.07: 0.517907, time = 1.88301
Average RMSE for r=2.4, alpha=0.08: 0.506579, time = 1.88395
Average RMSE for r=2.4, alpha=0.09: 0.551035, time = 1.90374
Average RMSE for r=2.4, alpha=0.1: 0.5189, time = 1.93696
Average RMSE for r=2.4, alpha=0.11: 0.513432, time = 1.87898
Average RMSE for r=2.4, alpha=0.12: 0.519261, time = 1.88313
Average RMSE for r=2.4, alpha=0.13: 0.545983, time = 1.88361
Average RMSE for r=2.4, alpha=0.14: 0.522336, time = 1.90339
Average RMSE for r=2.4, alpha=0.15: 0.581138, time = 1.88163
Average RMSE for r=2.4, alpha=0.16: 0.618964, time = 1.88191
Average RMSE for r=2.4, alpha=0.17: 0.549127, time = 2.08025
Average RMSE for r=2.4, alpha=0.18: 0.55317, time = 1.89184
Average RMSE for r=2.4, alpha=0.19: 0.539819, time = 1.88801
Average RMSE for r=2.4, alpha=0.2: 0.575994, time = 1.88613
Average RMSE for r=2.4, alpha=0.21: 0.572275, time = 1.93228
Average RMSE for r=2.4, alpha=0.22: 0.528248, time = 1.88735
Average RMSE for r=2.4, alpha=0.23: 0.570253, time = 1.92411
Average RMSE for r=2.4, alpha=0.24: 0.558729, time = 1.87603
Average RMSE for r=2.4, alpha=0.25: 0.573184, time = 1.88872
Average RMSE for r=2.4, alpha=0.26: 0.558202, time = 1.90095
Average RMSE for r=2.4, alpha=0.27: 0.574188, time = 1.9256
Average RMSE for r=2.4, alpha=0.28: 0.568836, time = 1.87429
Average RMSE for r=2.4, alpha=0.29: 0.585971, time = 1.88181
Average RMSE for r=2.4, alpha=0.3: 0.606374, time = 1.86193
Average RMSE for r=2.4, alpha=0.31: 0.605771, time = 1.87607
Average RMSE for r=2.4, alpha=0.32: 0.593847, time = 1.86975
Average RMSE for r=2.4, alpha=0.33: 0.617328, time = 1.91197
Average RMSE for r=2.4, alpha=0.34: 0.612106, time = 1.89105
Average RMSE for r=2.4, alpha=0.35: 0.609488, time = 1.88388
Average RMSE for r=2.6, alpha=0: 2.17999, time = 1.88016
Average RMSE for r=2.6, alpha=0.01: 1.16386, time = 1.8874
Average RMSE for r=2.6, alpha=0.02: 0.62494, time = 1.89368
Average RMSE for r=2.6, alpha=0.03: 0.581922, time = 1.8831
Average RMSE for r=2.6, alpha=0.04: 0.46774, time = 1.88701
Average RMSE for r=2.6, alpha=0.05: 0.547218, time = 1.87867
Average RMSE for r=2.6, alpha=0.06: 0.552718, time = 1.86915
Average RMSE for r=2.6, alpha=0.07: 0.560996, time = 1.87314
Average RMSE for r=2.6, alpha=0.08: 0.526158, time = 1.87389
Average RMSE for r=2.6, alpha=0.09: 0.545186, time = 1.87567
Average RMSE for r=2.6, alpha=0.1: 0.499649, time = 1.87561
Average RMSE for r=2.6, alpha=0.11: 0.522399, time = 1.87919
Average RMSE for r=2.6, alpha=0.12: 0.532123, time = 1.87599
Average RMSE for r=2.6, alpha=0.13: 0.516136, time = 2.08192
Average RMSE for r=2.6, alpha=0.14: 0.491168, time = 1.89643
Average RMSE for r=2.6, alpha=0.15: 0.515, time = 1.88437
Average RMSE for r=2.6, alpha=0.16: 0.516033, time = 1.9119
Average RMSE for r=2.6, alpha=0.17: 0.53776, time = 1.88293
Average RMSE for r=2.6, alpha=0.18: 0.53406, time = 1.90036
Average RMSE for r=2.6, alpha=0.19: 0.547301, time = 1.88275
Average RMSE for r=2.6, alpha=0.2: 0.523087, time = 1.88297
Average RMSE for r=2.6, alpha=0.21: 0.557304, time = 1.88413
Average RMSE for r=2.6, alpha=0.22: 0.547814, time = 1.94051
Average RMSE for r=2.6, alpha=0.23: 0.616354, time = 1.8781
Average RMSE for r=2.6, alpha=0.24: 0.585147, time = 1.89576
Average RMSE for r=2.6, alpha=0.25: 0.578124, time = 1.88009
Average RMSE for r=2.6, alpha=0.26: 0.601438, time = 1.87431
Average RMSE for r=2.6, alpha=0.27: 0.575077, time = 1.87355
Average RMSE for r=2.6, alpha=0.28: 0.571651, time = 1.90073
Average RMSE for r=2.6, alpha=0.29: 0.608806, time = 1.88501
Average RMSE for r=2.6, alpha=0.3: 0.566054, time = 1.88286
Average RMSE for r=2.6, alpha=0.31: 0.580182, time = 1.88003
Average RMSE for r=2.6, alpha=0.32: 0.585576, time = 1.89489
Average RMSE for r=2.6, alpha=0.33: 0.609715, time = 1.89197
Average RMSE for r=2.6, alpha=0.34: 0.644158, time = 1.88316
Average RMSE for r=2.6, alpha=0.35: 0.610872, time = 1.87971
Average RMSE for r=2.8, alpha=0: 3.14332, time = 1.88348
Average RMSE for r=2.8, alpha=0.01: 1.68108, time = 1.88699
Average RMSE for r=2.8, alpha=0.02: 0.559578, time = 1.89154
Average RMSE for r=2.8, alpha=0.03: 0.903123, time = 1.8887
Average RMSE for r=2.8, alpha=0.04: 0.53224, time = 1.88416
Average RMSE for r=2.8, alpha=0.05: 0.534402, time = 1.89176
Average RMSE for r=2.8, alpha=0.06: 0.509633, time = 1.87994
Average RMSE for r=2.8, alpha=0.07: 0.523271, time = 1.88119
Average RMSE for r=2.8, alpha=0.08: 0.472831, time = 1.91693
Average RMSE for r=2.8, alpha=0.09: 0.514157, time = 1.88298
Average RMSE for r=2.8, alpha=0.1: 0.493531, time = 1.89379
Average RMSE for r=2.8, alpha=0.11: 0.516164, time = 1.89063
Average RMSE for r=2.8, alpha=0.12: 0.524843, time = 1.90455
Average RMSE for r=2.8, alpha=0.13: 0.500612, time = 1.91639
Average RMSE for r=2.8, alpha=0.14: 0.529248, time = 1.88291
Average RMSE for r=2.8, alpha=0.15: 0.522706, time = 1.88233
Average RMSE for r=2.8, alpha=0.16: 0.512818, time = 1.88657
Average RMSE for r=2.8, alpha=0.17: 0.580285, time = 1.89002
Average RMSE for r=2.8, alpha=0.18: 0.537531, time = 1.883
Average RMSE for r=2.8, alpha=0.19: 0.542427, time = 1.90199
Average RMSE for r=2.8, alpha=0.2: 0.524056, time = 1.88692
Average RMSE for r=2.8, alpha=0.21: 0.540268, time = 1.8859
Average RMSE for r=2.8, alpha=0.22: 0.550074, time = 1.88441
Average RMSE for r=2.8, alpha=0.23: 0.536848, time = 1.89952
Average RMSE for r=2.8, alpha=0.24: 0.539726, time = 1.94075
Average RMSE for r=2.8, alpha=0.25: 0.539413, time = 1.89741
Average RMSE for r=2.8, alpha=0.26: 0.577425, time = 1.88988
Average RMSE for r=2.8, alpha=0.27: 0.545094, time = 1.90464
Average RMSE for r=2.8, alpha=0.28: 0.578759, time = 1.88295
Average RMSE for r=2.8, alpha=0.29: 0.608854, time = 1.90082
Average RMSE for r=2.8, alpha=0.3: 0.622482, time = 1.90514
Average RMSE for r=2.8, alpha=0.31: 0.5691, time = 1.88131
Average RMSE for r=2.8, alpha=0.32: 0.605985, time = 1.9036
Average RMSE for r=2.8, alpha=0.33: 0.580731, time = 1.92204
Average RMSE for r=2.8, alpha=0.34: 0.611053, time = 1.88585
