
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018a (9.4.0.813654) 64-bit (glnxa64)
                             February 23, 2018

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> All warnings have the state 'off'.
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> SqEnKF RMSE for r=5.4, alpha=0.08 is 0.662557
Average RMSE for r=6.5, alpha=0.25: 4.11578, time = 53.2365
Average RMSE for r=6.5, alpha=0.27: 3.0556, time = 56.8182
Average RMSE for r=6.5, alpha=0.29: 3.04832, time = 54.1239
Average RMSE for r=6.5, alpha=0.31: 2.90357, time = 47.589
Average RMSE for r=6.5, alpha=0.33: 3.99563, time = 56.553
Average RMSE for r=6.5, alpha=0.35: 4.39627, time = 60.1031
Average RMSE for r=6.5, alpha=0.37: 2.11676, time = 51.8067
Average RMSE for r=6.5, alpha=0.39: 2.82537, time = 54.519
Average RMSE for r=6.5, alpha=0.41: 3.06482, time = 54.4747
Average RMSE for r=6.5, alpha=0.43: 2.90458, time = 55.9462
Average RMSE for r=6.5, alpha=0.45: 3.51282, time = 53.6209
Average RMSE for r=6.5, alpha=0.47: 2.92073, time = 52.3119
Average RMSE for r=6.5, alpha=0.49: 3.06709, time = 53.207
Average RMSE for r=6.5, alpha=0.51: 2.34727, time = 57.8301
Average RMSE for r=7, alpha=0.15: 3.19455, time = 45.7287
Average RMSE for r=7, alpha=0.17: 3.04512, time = 39.9272
Average RMSE for r=7, alpha=0.19: 2.81418, time = 50.3534
Average RMSE for r=7, alpha=0.21: 3.77933, time = 57.688
Average RMSE for r=7, alpha=0.23: 2.80064, time = 49.1779
Average RMSE for r=7, alpha=0.25: 3.38823, time = 48.55
Average RMSE for r=7, alpha=0.27: 4.54315, time = 60.0908
Average RMSE for r=7, alpha=0.29: 3.36008, time = 50.5998
Average RMSE for r=7, alpha=0.31: 3.46376, time = 52.8987
Average RMSE for r=7, alpha=0.33: 3.59292, time = 56.04
Average RMSE for r=7, alpha=0.35: 3.01345, time = 51.6813
Average RMSE for r=7, alpha=0.37: 1.73116, time = 52.8875
Average RMSE for r=7, alpha=0.39: 2.33315, time = 56.139
Average RMSE for r=7, alpha=0.41: 3.08058, time = 49.7719
Average RMSE for r=7, alpha=0.43: 3.44745, time = 51.5349
Average RMSE for r=7, alpha=0.45: 2.46571, time = 50.0427
Average RMSE for r=7, alpha=0.47: 3.65651, time = 51.1792
Average RMSE for r=7, alpha=0.49: 2.8422, time = 55.8308
Average RMSE for r=7, alpha=0.51: 2.56375, time = 56.3299
Average RMSE for r=7.5, alpha=0.15: 3.73294, time = 47.9371
Average RMSE for r=7.5, alpha=0.17: 4.61914, time = 46.6997
Average RMSE for r=7.5, alpha=0.19: 4.34707, time = 50.9818
Average RMSE for r=7.5, alpha=0.21: 3.93075, time = 47.747
Average RMSE for r=7.5, alpha=0.23: 2.83384, time = 50.2571
Average RMSE for r=7.5, alpha=0.25: 2.8674, time = 54.1308
Average RMSE for r=7.5, alpha=0.27: 3.72731, time = 48.9139
Average RMSE for r=7.5, alpha=0.29: 4.00205, time = 53.2589
Average RMSE for r=7.5, alpha=0.31: 3.30293, time = 49.036
Average RMSE for r=7.5, alpha=0.33: 3.4844, time = 54.5769
Average RMSE for r=7.5, alpha=0.35: 3.83515, time = 55.343
Average RMSE for r=7.5, alpha=0.37: 3.50652, time = 49.8945
Average RMSE for r=7.5, alpha=0.39: 3.43136, time = 57.357
Average RMSE for r=7.5, alpha=0.41: 2.93206, time = 60.1601
Average RMSE for r=7.5, alpha=0.43: 2.92035, time = 49.762
Average RMSE for r=7.5, alpha=0.45: 2.312, time = 50.9767
Average RMSE for r=7.5, alpha=0.47: 2.82104, time = 50.9481
Average RMSE for r=7.5, alpha=0.49: 2.55692, time = 56.8928
Average RMSE for r=7.5, alpha=0.51: 3.64908, time = 56.4471
Average RMSE for r=8, alpha=0.15: 4.37937, time = 49.8029
Average RMSE for r=8, alpha=0.17: 4.55042, time = 52.1028
Average RMSE for r=8, alpha=0.19: 3.76505, time = 53.9817
Average RMSE for r=8, alpha=0.21: 3.38298, time = 50.0037
Average RMSE for r=8, alpha=0.23: 4.01637, time = 51.7124
Average RMSE for r=8, alpha=0.25: 3.5207, time = 49.8955
Average RMSE for r=8, alpha=0.27: 3.24233, time = 51.2893
Average RMSE for r=8, alpha=0.29: 3.28846, time = 47.076
Average RMSE for r=8, alpha=0.31: 3.51574, time = 52.2438
Average RMSE for r=8, alpha=0.33: 3.57813, time = 50.0847
Average RMSE for r=8, alpha=0.35: 2.2186, time = 55.1013
Average RMSE for r=8, alpha=0.37: 3.46821, time = 50.6139
Average RMSE for r=8, alpha=0.39: 2.49407, time = 52.3329
Average RMSE for r=8, alpha=0.41: 3.51066, time = 53.2387
Average RMSE for r=8, alpha=0.43: 2.36229, time = 50.8032
Average RMSE for r=8, alpha=0.45: 3.52917, time = 59.9487
Average RMSE for r=8, alpha=0.47: 2.77121, time = 55.918
Average RMSE for r=8, alpha=0.49: 2.49903, time = 52.704
Average RMSE for r=8, alpha=0.51: 2.94075, time = 47.8958
>> >> Minimum RMSE for r=1, alpha=0.15 is 0.442011
>> >> >> >> >> 
